Price Band,Category,N,Mean,Std Dev,Min,Q25,Median,Q75,Max,N Distinct
Band 1,Autobidder,13572,0.18678455643972885,0.2725643105225728,0.0,0.0,0.0,0.39,0.94,5
Band 1,Non-Autobidder,41900,0.5888143198090693,1.8604510473555573,0.0,0.0,0.0,0.1,11.89,22
Band 2,Autobidder,13572,2.386474358974359,2.0552524572153557,0.49,0.86,0.96,3.99,7.32,14
Band 2,Non-Autobidder,41900,2.96055107398568,3.6290106079604674,0.02,0.72,1.13,3.73,15.9,101
Band 3,Autobidder,13572,4.6079420866489835,3.583737361261703,0.96,1.84,1.96,7.84,15.49,11
Band 3,Non-Autobidder,41900,6.620804057279236,6.592077849204187,0.04,1.95,4.34,9.8,45.85,117
Band 4,Autobidder,13572,9.984335396404362,8.478841466413703,1.96,4.89,4.89,13.7,43.28,15
Band 4,Non-Autobidder,41900,12.372403818615753,11.247907786057388,0.43,4.0,8.56,18.0,77.71,132
Band 5,Autobidder,13572,21.369849690539343,15.7771357859852,2.79,13.91,19.95,19.95,95.0,17
Band 5,Non-Autobidder,41900,21.47763532219571,19.69391702062246,0.7,5.98,16.0,26.77,111.85,135
Band 6,Autobidder,13572,57.268450486295315,38.14689587420968,2.96,24.79,44.99,97.99,97.99,15
Band 6,Non-Autobidder,41900,47.1555369928401,71.51633124811288,0.81,12.0,26.38,48.58,399.73,133
Band 7,Autobidder,13572,237.6967550839964,237.14852343914782,4.96,44.39,98.0,497.99,990.0,17
Band 7,Non-Autobidder,41900,118.64243317422437,208.61544318105265,3.53,21.0,50.65,97.95,983.21,129
Band 8,Autobidder,13572,789.4783156498673,2102.3402181501388,7.96,98.0,290.42,999.0,15500.0,17
Band 8,Non-Autobidder,41900,483.4613155131264,1322.0431545681793,7.18,70.59,100.0,294.2,9999.0,112
Band 9,Autobidder,13572,3317.280649130563,4349.684235658962,9.96,269.0,1429.0,4999.0,19500.0,16
Band 9,Non-Autobidder,41900,3085.1646164677804,4194.319153910113,9.95,113.4,998.0,4540.27,19000.0,99
Band 10,Autobidder,13572,20300.0,0.0,20300.0,20300.0,20300.0,20300.0,20300.0,1
Band 10,Non-Autobidder,41900,18432.13867446301,4615.5916578696515,256.0,20199.0,20300.0,20300.0,20300.0,9
