DUID,BIDTYPE,IS_AUTOBIDDER,n_offers,avg_std_across_bands,total_distinct_values,std_pb1,std_pb5,std_pb10,n_distinct_pb1,n_distinct_pb5,n_distinct_pb10
BBATTERY1,LOWER1SEC,True,9669,0.0,10,0.0,0.0,0.0,1,1,1
HPR1,LOWER1SEC,True,9637,0.0,10,0.0,0.0,0.0,1,1,1
VBB1,LOWER1SEC,True,9452,0.0,10,0.0,0.0,0.0,1,1,1
WALGRV1,LOWER1SEC,True,9684,0.0,10,0.0,0.0,0.0,1,1,1
BBATTERY1,LOWER5MIN,True,9669,0.0,10,0.0,0.0,0.0,1,1,1
HPR1,LOWER5MIN,True,9637,0.0,10,0.0,0.0,0.0,1,1,1
VBB1,LOWER5MIN,True,9452,0.0,10,0.0,0.0,0.0,1,1,1
WALGRV1,LOWER5MIN,True,9684,0.0,10,0.0,0.0,0.0,1,1,1
BBATTERY1,LOWER60SEC,True,9669,0.0,10,0.0,0.0,0.0,1,1,1
HPR1,LOWER60SEC,True,9637,0.0,10,0.0,0.0,0.0,1,1,1
VBB1,LOWER60SEC,True,9452,0.0,10,0.0,0.0,0.0,1,1,1
WALGRV1,LOWER60SEC,True,9684,0.0,10,0.0,0.0,0.0,1,1,1
BBATTERY1,LOWER6SEC,True,9669,0.0,10,0.0,0.0,0.0,1,1,1
HPR1,LOWER6SEC,True,9637,0.0,10,0.0,0.0,0.0,1,1,1
VBB1,LOWER6SEC,True,9452,0.0,10,0.0,0.0,0.0,1,1,1
WALGRV1,LOWER6SEC,True,9684,0.0,10,0.0,0.0,0.0,1,1,1
BBATTERY1,LOWERREG,True,19338,0.0,10,0.0,0.0,0.0,1,1,1
HPR1,LOWERREG,True,19274,0.0,10,0.0,0.0,0.0,1,1,1
VBB1,LOWERREG,True,18904,0.0,10,0.0,0.0,0.0,1,1,1
WALGRV1,LOWERREG,True,19364,0.0,10,0.0,0.0,0.0,1,1,1
BBATTERY1,RAISE1SEC,True,9669,0.0,10,0.0,0.0,0.0,1,1,1
HPR1,RAISE1SEC,True,9637,0.0,10,0.0,0.0,0.0,1,1,1
VBB1,RAISE1SEC,True,9452,0.0,10,0.0,0.0,0.0,1,1,1
WALGRV1,RAISE1SEC,True,9684,0.0,10,0.0,0.0,0.0,1,1,1
